instance,model,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,bound,snsTimeLimit
inst-20-1-342897262,model,0,108.217,0,0,10.2487,0,-1,yes,../wrapper.py 20 1 342897262 bacp -n_courses 99 -n_periods 16 -load_per_period_lb 10 -load_per_period_ub 31 -courses_per_period_lb 3 -courses_per_period_ub 9 -course_load_min 3 -course_load_max 7 -probability_of_edge 0.3608,NA,NA
inst-219-1-342897262,model,0,212.876,0,0,5.18392,0,-1,yes,../wrapper.py 219 1 342897262 bacp -n_courses 127 -n_periods 28 -load_per_period_lb 4 -load_per_period_ub 35 -courses_per_period_lb 4 -courses_per_period_ub 5 -course_load_min 5 -course_load_max 7 -probability_of_edge 0.1934,NA,NA
inst-227-1-310345428,model,0,121.232,0,0,7.4651,0,-1,yes,../wrapper.py 227 1 310345428 bacp -n_courses 158 -n_periods 29 -load_per_period_lb 6 -load_per_period_ub 49 -courses_per_period_lb 5 -courses_per_period_ub 10 -course_load_min 2 -course_load_max 8 -probability_of_edge 0.0595,NA,NA
inst-227-1-320362453,model,0,124.664,0,0,11.1762,0,-1,yes,../wrapper.py 227 1 320362453 bacp -n_courses 158 -n_periods 29 -load_per_period_lb 6 -load_per_period_ub 49 -courses_per_period_lb 5 -courses_per_period_ub 10 -course_load_min 2 -course_load_max 8 -probability_of_edge 0.0595,NA,NA
inst-227-1-342897262,model,0,120.111,0,0,7.53662,0,-1,yes,../wrapper.py 227 1 342897262 bacp -n_courses 158 -n_periods 29 -load_per_period_lb 6 -load_per_period_ub 49 -courses_per_period_lb 5 -courses_per_period_ub 10 -course_load_min 2 -course_load_max 8 -probability_of_edge 0.0595,NA,NA
inst-147-1-1058338582,model,0,80.311,0,0,8.74112,0,-1,yes,../wrapper.py 147 1 1058338582 bacp -n_courses 128 -n_periods 29 -load_per_period_lb 1 -load_per_period_ub 24 -courses_per_period_lb 3 -courses_per_period_ub 6 -course_load_min 2 -course_load_max 9 -probability_of_edge 0.1119,NA,NA
inst-147-1-1104739161,model,0,68.507,0,0,9.4437,0,-1,yes,../wrapper.py 147 1 1104739161 bacp -n_courses 128 -n_periods 29 -load_per_period_lb 1 -load_per_period_ub 24 -courses_per_period_lb 3 -courses_per_period_ub 6 -course_load_min 2 -course_load_max 9 -probability_of_edge 0.1119,NA,NA
inst-227-1-1058338582,model,0,122.42,0,0,8.76398,0,-1,yes,../wrapper.py 227 1 1058338582 bacp -n_courses 158 -n_periods 29 -load_per_period_lb 6 -load_per_period_ub 49 -courses_per_period_lb 5 -courses_per_period_ub 10 -course_load_min 2 -course_load_max 8 -probability_of_edge 0.0595,NA,NA
inst-227-1-1104739161,model,0,78.713,0,0,6.26765,0,-1,yes,../wrapper.py 227 1 1104739161 bacp -n_courses 158 -n_periods 29 -load_per_period_lb 6 -load_per_period_ub 49 -courses_per_period_lb 5 -courses_per_period_ub 10 -course_load_min 2 -course_load_max 8 -probability_of_edge 0.0595,NA,NA
inst-227-1-960833342,model,0,123.769,0,0,6.30105,0,-1,yes,../wrapper.py 227 1 960833342 bacp -n_courses 158 -n_periods 29 -load_per_period_lb 6 -load_per_period_ub 49 -courses_per_period_lb 5 -courses_per_period_ub 10 -course_load_min 2 -course_load_max 8 -probability_of_edge 0.0595,NA,NA
inst-339-1-960833342,model,0,264.059,0,0,5.10511,0,-1,yes,../wrapper.py 339 1 960833342 bacp -n_courses 125 -n_periods 28 -load_per_period_lb 5 -load_per_period_ub 41 -courses_per_period_lb 4 -courses_per_period_ub 10 -course_load_min 3 -course_load_max 8 -probability_of_edge 0.2188,NA,NA
inst-387-1-960833342,model,0,67.603,0,0,6.22036,0,-1,yes,../wrapper.py 387 1 960833342 bacp -n_courses 108 -n_periods 25 -load_per_period_lb 7 -load_per_period_ub 45 -courses_per_period_lb 4 -courses_per_period_ub 9 -course_load_min 2 -course_load_max 7 -probability_of_edge 0.1745,NA,NA
inst-397-1-1058338582,model,0,36.107,0,0,280.661,0,-1,yes,../wrapper.py 397 1 1058338582 bacp -n_courses 141 -n_periods 21 -load_per_period_lb 7 -load_per_period_ub 35 -courses_per_period_lb 5 -courses_per_period_ub 9 -course_load_min 2 -course_load_max 9 -probability_of_edge 0.0337,NA,NA
inst-418-1-1058338582,model,0,15.805,0,0,9.13402,0,-1,yes,../wrapper.py 418 1 1058338582 bacp -n_courses 125 -n_periods 20 -load_per_period_lb 4 -load_per_period_ub 50 -courses_per_period_lb 5 -courses_per_period_ub 10 -course_load_min 2 -course_load_max 7 -probability_of_edge 0.0338,NA,NA
inst-420-1-1058338582,model,0,103.896,0,0,8.44139,0,-1,yes,../wrapper.py 420 1 1058338582 bacp -n_courses 172 -n_periods 26 -load_per_period_lb 5 -load_per_period_ub 49 -courses_per_period_lb 3 -courses_per_period_ub 10 -course_load_min 2 -course_load_max 8 -probability_of_edge 0.0373,NA,NA
inst-420-1-1323586017,model,0,97.988,0,0,5.24592,0,-1,yes,../wrapper.py 420 1 1323586017 bacp -n_courses 172 -n_periods 26 -load_per_period_lb 5 -load_per_period_ub 49 -courses_per_period_lb 3 -courses_per_period_ub 10 -course_load_min 2 -course_load_max 8 -probability_of_edge 0.0373,NA,NA
inst-427-1-1058338582,model,0,124.2,0,0,56.2379,0,-1,yes,../wrapper.py 427 1 1058338582 bacp -n_courses 142 -n_periods 23 -load_per_period_lb 5 -load_per_period_ub 36 -courses_per_period_lb 3 -courses_per_period_ub 9 -course_load_min 4 -course_load_max 8 -probability_of_edge 0.094,NA,NA
inst-427-1-960833342,model,0,124.114,0,0,63.2258,0,-1,yes,../wrapper.py 427 1 960833342 bacp -n_courses 142 -n_periods 23 -load_per_period_lb 5 -load_per_period_ub 36 -courses_per_period_lb 3 -courses_per_period_ub 9 -course_load_min 4 -course_load_max 8 -probability_of_edge 0.094,NA,NA
inst-485-1-1058338582,model,0,58.73,0,0,6.57276,0,-1,yes,../wrapper.py 485 1 1058338582 bacp -n_courses 175 -n_periods 30 -load_per_period_lb 6 -load_per_period_ub 44 -courses_per_period_lb 4 -courses_per_period_ub 10 -course_load_min 2 -course_load_max 8 -probability_of_edge 0.0187,NA,NA
